N,p,run_id,outcome,t_event,period,glider_seen,t_glider
30,0.2,111,still,177,,1,0.0
30,0.2,112,oscillating,177,2.0,1,0.0
30,0.2,113,oscillating,85,2.0,1,0.0
30,0.2,114,oscillating,123,2.0,1,0.0
30,0.2,115,oscillating,85,2.0,1,0.0
30,0.2,116,oscillating,178,2.0,1,0.0
30,0.2,117,oscillating,221,2.0,1,0.0
30,0.2,118,oscillating,262,2.0,1,0.0
30,0.2,119,still,191,,1,0.0
30,0.2,120,active_end,500,,1,0.0
30,0.2,121,oscillating,383,2.0,1,0.0
30,0.2,122,oscillating,33,2.0,1,0.0
30,0.2,123,oscillating,125,2.0,1,0.0
30,0.2,124,oscillating,114,2.0,1,0.0
30,0.2,125,oscillating,158,2.0,1,0.0
30,0.2,126,oscillating,171,6.0,1,0.0
30,0.2,127,oscillating,21,2.0,1,1.0
30,0.2,128,oscillating,84,2.0,1,0.0
30,0.2,129,oscillating,95,2.0,1,0.0
30,0.2,130,active_end,500,,1,1.0
30,0.2,131,oscillating,239,6.0,1,1.0
30,0.2,132,still,94,,1,1.0
30,0.2,133,active_end,500,,1,0.0
30,0.2,134,oscillating,80,2.0,1,0.0
30,0.2,135,still,128,,1,1.0
30,0.2,136,active_end,500,,1,0.0
30,0.2,137,still,114,,1,0.0
30,0.2,138,oscillating,127,2.0,1,1.0
30,0.2,139,oscillating,125,6.0,1,0.0
30,0.2,140,oscillating,73,2.0,1,0.0
30,0.2,141,oscillating,259,2.0,1,0.0
30,0.2,142,still,174,,1,1.0
30,0.2,143,oscillating,392,2.0,1,0.0
30,0.2,144,oscillating,126,2.0,1,0.0
30,0.2,145,oscillating,181,2.0,1,0.0
30,0.2,146,still,135,,1,1.0
30,0.2,147,oscillating,232,2.0,1,1.0
30,0.2,148,oscillating,193,2.0,1,0.0
30,0.2,149,oscillating,141,2.0,1,0.0
30,0.2,150,oscillating,253,2.0,1,1.0
30,0.2,151,still,65,,1,0.0
30,0.2,152,oscillating,152,2.0,1,0.0
30,0.2,153,oscillating,190,2.0,1,1.0
30,0.2,154,oscillating,140,2.0,1,0.0
30,0.2,155,oscillating,93,2.0,1,0.0
30,0.2,156,oscillating,187,2.0,1,1.0
30,0.2,157,oscillating,100,2.0,1,0.0
30,0.2,158,still,86,,1,1.0
30,0.2,159,oscillating,183,2.0,1,1.0
30,0.2,160,oscillating,197,6.0,1,0.0
30,0.2,161,oscillating,95,2.0,1,0.0
30,0.2,162,oscillating,251,2.0,1,0.0
30,0.2,163,oscillating,116,2.0,1,0.0
30,0.2,164,oscillating,109,2.0,1,0.0
30,0.2,165,oscillating,311,2.0,1,0.0
30,0.2,166,oscillating,180,2.0,1,0.0
30,0.2,167,still,101,,1,0.0
30,0.2,168,still,115,,1,1.0
30,0.2,169,still,78,,1,1.0
30,0.2,170,still,213,,1,0.0
30,0.2,171,oscillating,157,2.0,1,1.0
30,0.2,172,oscillating,238,2.0,1,0.0
30,0.2,173,oscillating,221,2.0,1,0.0
30,0.2,174,oscillating,160,2.0,1,0.0
30,0.2,175,still,136,,1,0.0
30,0.2,176,oscillating,85,6.0,1,0.0
30,0.2,177,oscillating,112,2.0,1,0.0
30,0.2,178,still,110,,1,0.0
30,0.2,179,oscillating,176,2.0,1,1.0
30,0.2,180,oscillating,80,2.0,1,0.0
30,0.2,181,oscillating,149,2.0,1,0.0
30,0.2,182,oscillating,360,3.0,1,0.0
30,0.2,183,still,195,,1,0.0
30,0.2,184,oscillating,70,2.0,1,2.0
30,0.2,185,oscillating,315,2.0,1,1.0
30,0.2,186,active_end,500,,1,0.0
30,0.2,187,oscillating,242,2.0,1,0.0
30,0.2,188,oscillating,118,2.0,1,0.0
30,0.2,189,oscillating,97,2.0,1,0.0
30,0.2,190,oscillating,244,2.0,1,0.0
30,0.2,191,active_end,500,,1,1.0
30,0.2,192,oscillating,201,2.0,1,1.0
30,0.2,193,oscillating,347,2.0,1,0.0
30,0.2,194,oscillating,220,2.0,1,0.0
30,0.2,195,oscillating,174,2.0,1,1.0
30,0.2,196,oscillating,124,2.0,1,0.0
30,0.2,197,oscillating,262,2.0,1,0.0
30,0.2,198,oscillating,71,2.0,1,0.0
30,0.2,199,oscillating,89,2.0,1,1.0
30,0.3,0,oscillating,181,2.0,1,0.0
30,0.3,1,oscillating,180,2.0,1,0.0
30,0.3,2,oscillating,168,2.0,1,0.0
30,0.3,3,oscillating,54,2.0,1,0.0
30,0.3,4,oscillating,92,2.0,1,0.0
30,0.3,5,oscillating,267,2.0,1,0.0
30,0.3,6,oscillating,131,2.0,1,0.0
30,0.3,7,oscillating,240,2.0,1,0.0
30,0.3,8,oscillating,203,3.0,1,0.0
30,0.3,9,active_end,500,,1,0.0
30,0.3,10,oscillating,277,2.0,1,0.0
30,0.3,11,oscillating,204,2.0,1,0.0
30,0.3,12,still,121,,1,0.0
30,0.3,13,oscillating,226,2.0,1,0.0
30,0.3,14,oscillating,179,2.0,1,0.0
30,0.3,15,oscillating,357,2.0,1,0.0
30,0.3,16,oscillating,189,2.0,1,0.0
30,0.3,17,oscillating,61,2.0,1,0.0
30,0.3,18,oscillating,100,2.0,1,0.0
30,0.3,19,oscillating,278,2.0,1,0.0
30,0.3,20,oscillating,110,2.0,1,0.0
30,0.3,21,still,107,,1,0.0
30,0.3,22,oscillating,257,2.0,1,0.0
30,0.3,23,oscillating,137,2.0,1,0.0
30,0.3,24,oscillating,193,2.0,1,0.0
30,0.3,25,oscillating,83,6.0,1,0.0
30,0.3,26,oscillating,82,2.0,1,0.0
30,0.3,27,oscillating,83,2.0,1,0.0
30,0.3,28,oscillating,83,2.0,1,0.0
30,0.3,29,still,328,,1,0.0
30,0.3,30,oscillating,165,2.0,1,0.0
30,0.3,31,oscillating,194,2.0,1,0.0
30,0.3,32,oscillating,482,2.0,1,0.0
30,0.3,33,oscillating,211,2.0,1,0.0
30,0.3,34,oscillating,63,2.0,1,0.0
30,0.3,35,oscillating,127,2.0,1,0.0
30,0.3,36,oscillating,67,2.0,1,0.0
30,0.3,37,still,250,,1,0.0
30,0.3,38,oscillating,158,2.0,1,0.0
30,0.3,39,oscillating,196,2.0,1,0.0
30,0.3,40,oscillating,74,2.0,1,0.0
30,0.3,41,still,190,,1,0.0
30,0.3,42,still,85,,1,0.0
30,0.3,43,oscillating,116,2.0,1,0.0
30,0.3,44,oscillating,436,2.0,1,0.0
30,0.3,45,oscillating,153,2.0,1,0.0
30,0.3,46,still,74,,1,0.0
30,0.3,47,oscillating,78,2.0,1,0.0
30,0.3,48,oscillating,145,2.0,1,0.0
30,0.3,49,oscillating,216,2.0,1,0.0
30,0.3,50,oscillating,139,2.0,1,0.0
30,0.3,51,oscillating,374,2.0,1,0.0
30,0.3,52,oscillating,82,2.0,1,0.0
30,0.3,53,oscillating,262,2.0,1,0.0
30,0.3,54,oscillating,295,2.0,1,0.0
30,0.3,55,oscillating,418,2.0,1,0.0
30,0.3,56,oscillating,175,2.0,1,0.0
30,0.3,57,oscillating,141,2.0,1,0.0
30,0.3,58,oscillating,151,2.0,1,0.0
30,0.3,59,still,389,,1,0.0
30,0.3,60,oscillating,372,2.0,1,0.0
30,0.3,61,oscillating,289,2.0,1,0.0
30,0.3,62,oscillating,34,2.0,1,0.0
30,0.3,63,oscillating,162,2.0,1,0.0
30,0.3,64,still,244,,1,0.0
30,0.3,65,oscillating,122,2.0,1,0.0
30,0.3,66,still,154,,1,0.0
30,0.3,67,still,311,,1,0.0
30,0.3,68,still,254,,1,0.0
30,0.3,69,still,202,,1,0.0
30,0.3,70,active_end,500,,1,0.0
30,0.3,71,still,133,,1,0.0
30,0.3,72,oscillating,370,2.0,1,0.0
30,0.3,73,oscillating,164,2.0,1,0.0
30,0.3,74,oscillating,102,2.0,1,0.0
30,0.3,75,oscillating,97,2.0,1,0.0
30,0.3,76,oscillating,225,2.0,1,0.0
30,0.3,77,oscillating,65,2.0,1,0.0
30,0.3,78,oscillating,175,6.0,1,0.0
30,0.3,79,oscillating,213,2.0,1,0.0
30,0.3,80,oscillating,202,2.0,1,0.0
30,0.3,81,oscillating,317,2.0,1,0.0
30,0.3,82,still,142,,1,0.0
30,0.3,83,oscillating,156,2.0,1,0.0
30,0.3,84,still,245,,1,0.0
30,0.3,85,oscillating,193,2.0,1,0.0
30,0.3,86,oscillating,176,2.0,1,0.0
30,0.3,87,still,131,,1,0.0
30,0.3,88,oscillating,282,6.0,1,0.0
30,0.3,89,still,161,,1,0.0
30,0.3,90,oscillating,213,2.0,1,0.0
30,0.3,91,oscillating,151,2.0,1,0.0
30,0.3,92,still,111,,1,0.0
30,0.3,93,oscillating,163,2.0,1,0.0
30,0.3,94,still,431,,1,0.0
30,0.3,95,oscillating,87,2.0,1,0.0
30,0.3,96,oscillating,135,2.0,1,0.0
30,0.3,97,oscillating,167,2.0,1,0.0
30,0.3,98,still,234,,1,0.0
30,0.3,99,oscillating,130,2.0,1,0.0
30,0.3,100,oscillating,213,2.0,1,0.0
30,0.3,101,oscillating,223,2.0,1,0.0
30,0.3,102,still,157,,1,0.0
30,0.3,103,oscillating,217,2.0,1,0.0
30,0.3,104,oscillating,299,2.0,1,0.0
30,0.3,105,active_end,500,,1,0.0
30,0.3,106,oscillating,162,2.0,1,0.0
30,0.3,107,oscillating,147,2.0,1,0.0
30,0.3,108,still,244,,1,0.0
30,0.3,109,oscillating,161,2.0,1,0.0
30,0.3,110,oscillating,280,2.0,1,0.0
30,0.3,111,oscillating,137,2.0,1,0.0
30,0.3,112,oscillating,71,2.0,1,0.0
30,0.3,113,oscillating,279,6.0,1,0.0
30,0.3,114,oscillating,49,2.0,1,0.0
30,0.3,115,still,145,,1,0.0
30,0.3,116,oscillating,134,2.0,1,0.0
30,0.3,117,oscillating,296,2.0,1,0.0
30,0.3,118,still,171,,1,0.0
30,0.3,119,oscillating,240,2.0,1,0.0
30,0.3,120,oscillating,41,2.0,1,0.0
30,0.3,121,active_end,500,,1,0.0
30,0.3,122,oscillating,186,2.0,1,0.0
30,0.3,123,oscillating,59,2.0,1,0.0
30,0.3,124,oscillating,57,2.0,1,0.0
30,0.3,125,oscillating,200,2.0,1,0.0
30,0.3,126,oscillating,326,2.0,1,0.0
30,0.3,127,oscillating,110,2.0,1,0.0
30,0.3,128,oscillating,147,2.0,1,0.0
30,0.3,129,still,122,,1,0.0
30,0.3,130,oscillating,271,2.0,1,0.0
30,0.3,131,oscillating,83,3.0,1,0.0
30,0.3,132,oscillating,258,2.0,1,0.0
30,0.3,133,oscillating,136,2.0,1,0.0
30,0.3,134,oscillating,339,2.0,1,0.0
30,0.3,135,oscillating,244,2.0,1,0.0
30,0.3,136,oscillating,481,2.0,1,0.0
30,0.3,137,oscillating,132,2.0,1,0.0
30,0.3,138,oscillating,57,3.0,1,0.0
30,0.3,139,oscillating,108,2.0,1,0.0
30,0.3,140,oscillating,77,2.0,1,0.0
30,0.3,141,oscillating,199,2.0,1,0.0
30,0.3,142,still,407,,1,0.0
30,0.3,143,oscillating,119,2.0,1,0.0
30,0.3,144,still,145,,1,0.0
30,0.3,145,oscillating,300,6.0,1,0.0
30,0.3,146,still,185,,1,0.0
30,0.3,147,oscillating,149,2.0,1,0.0
30,0.3,148,oscillating,382,2.0,1,0.0
30,0.3,149,oscillating,370,2.0,1,0.0
30,0.3,150,oscillating,150,2.0,1,0.0
30,0.3,151,oscillating,62,2.0,1,0.0
30,0.3,152,oscillating,65,2.0,1,0.0
30,0.3,153,still,208,,1,0.0
30,0.3,154,oscillating,100,2.0,1,0.0
30,0.3,155,still,370,,1,0.0
30,0.3,156,oscillating,115,2.0,1,0.0
30,0.3,157,oscillating,140,3.0,1,0.0
30,0.3,158,oscillating,299,2.0,1,0.0
30,0.3,159,still,236,,1,0.0
30,0.3,160,still,205,,1,0.0
30,0.3,161,oscillating,201,2.0,1,0.0
30,0.3,162,oscillating,110,2.0,1,0.0
30,0.3,163,oscillating,91,2.0,1,0.0
30,0.3,164,oscillating,72,2.0,1,0.0
30,0.3,165,oscillating,385,2.0,1,0.0
30,0.3,166,still,108,,1,0.0
30,0.3,167,oscillating,115,2.0,1,0.0
30,0.3,168,oscillating,88,2.0,1,0.0
30,0.3,169,still,293,,1,0.0
30,0.3,170,oscillating,102,2.0,1,0.0
30,0.3,171,oscillating,63,2.0,1,0.0
30,0.3,172,active_end,500,,1,0.0
30,0.3,173,oscillating,150,2.0,1,0.0
30,0.3,174,oscillating,64,2.0,1,0.0
30,0.3,175,still,107,,1,0.0
30,0.3,176,still,184,,1,0.0
30,0.3,177,oscillating,374,2.0,1,0.0
30,0.3,178,oscillating,173,2.0,1,0.0
30,0.3,179,oscillating,277,2.0,1,0.0
30,0.3,180,oscillating,249,2.0,1,0.0
30,0.3,181,still,290,,1,0.0
30,0.3,182,oscillating,157,3.0,1,0.0
30,0.3,183,oscillating,161,2.0,1,0.0
30,0.3,184,oscillating,180,2.0,1,0.0
30,0.3,185,still,397,,1,0.0
30,0.3,186,oscillating,182,2.0,1,0.0
30,0.3,187,oscillating,143,2.0,1,0.0
30,0.3,188,still,109,,1,0.0
30,0.3,189,oscillating,251,2.0,1,0.0
30,0.3,190,oscillating,249,2.0,1,0.0
30,0.3,191,still,86,,1,0.0
30,0.3,192,still,383,,1,0.0
30,0.3,193,oscillating,405,2.0,1,0.0
30,0.3,194,oscillating,318,2.0,1,0.0
30,0.3,195,oscillating,179,2.0,1,0.0
30,0.3,196,oscillating,301,2.0,1,0.0
30,0.3,197,oscillating,219,2.0,1,0.0
30,0.3,198,oscillating,95,2.0,1,0.0
30,0.3,199,still,247,,1,0.0
30,0.4,0,oscillating,288,2.0,1,0.0
30,0.4,1,still,289,,1,0.0
30,0.4,2,oscillating,204,2.0,1,0.0
30,0.4,3,oscillating,248,2.0,1,0.0
30,0.4,4,oscillating,150,2.0,1,0.0
